,num_dol,num_dfep,num_tfsi,num_ps,num_li,atoms_dol,atoms_dfep,atoms_tfsi,atoms_ps,atoms_li,count,%
0,6,0,1,1,2,1O:1O:1O:1O:1O:2O,,1O1S,,1L:1L,10,0.3000300030003
1,5,0,1,1,2,1O:1O:1O:1O:2O,,1O1S,,1L:1L,10,0.3000300030003
2,5,0,2,1,2,1O:1O:1O:1O:2O,,:2O1S,,1L:1L,10,0.3000300030003
3,5,0,2,1,2,1O:1O:1O:1O:1O,,1O:1O,,1L:1L,9,0.27002700270027
4,5,0,2,1,2,1O:1O:1O:1O:2O,,:1O1S,,1L:1L,8,0.24002400240024
5,5,0,2,1,2,1O:1O:1O:1O:2O,,1O:2O1S,,1L:1L,8,0.24002400240024
6,6,0,1,1,2,1O:1O:1O:1O:1O:1O,,1O1S,,1L:1L,7,0.21002100210021
7,5,0,2,1,2,1O:1O:1O:1O:1O,,1O:2O1S,,1L:1L,7,0.21002100210021
8,6,0,1,1,2,:1O:1O:1O:1O:2O,,1O,,1L:1L,7,0.21002100210021
9,6,0,1,1,2,:1O:1O:1O:1O:1O,,2O1S,,1L:1L,7,0.21002100210021
10,5,0,1,1,2,1O:1O:1O:2O:2O,,2O1S,,1L:1L,6,0.18001800180018
11,6,0,2,1,2,:1O:1O:1O:1O:2O,,:1O,,1L:1L,6,0.18001800180018
12,5,0,1,1,2,:1O:1O:1O:2O,,1N3O2S,,1L:1L,5,0.15001500150015
13,5,0,1,1,2,1O:1O:1O:1O:2O,,1N1O1S,,1L:1L,5,0.15001500150015
14,6,0,2,1,2,:1O:1O:1O:1O:1O,,:2O1S,,1L:1L,5,0.15001500150015
15,5,0,1,1,2,1O:1O:1O:2O:2O,,1O1S,,1L:1L,5,0.15001500150015
16,3,2,1,1,2,1O:1O:1O,:1O,1N3O2S,,1L:1L,5,0.15001500150015
17,6,0,1,1,2,1O:1O:1O:1O:1O:2O,,1O,,1L:1L,5,0.15001500150015
18,5,0,2,1,2,1O:1O:1O:1O:1O,,:2O1S,,1L:1L,5,0.15001500150015
19,6,0,1,1,2,:1O:1O:1O:2O:2O,,2O1S,,1L:1L,4,0.12001200120012
20,6,0,2,1,2,:1O:1O:1O:1O:2O,,1O:1O,,1L:1L,4,0.12001200120012
21,5,0,2,1,2,:1O:1O:1O:1O,,1O:2O1S,,1L:1L,4,0.12001200120012
22,5,1,1,1,2,1O:1O:1O:1O:1O,,2O1S,,1L:1L,4,0.12001200120012
23,3,1,2,1,2,1O:1O:1O,,1N3O2S:1O1S,,1L:1L,4,0.12001200120012
24,6,0,1,1,2,:1O:1O:1O:1O:2O,,2O1S,,1L:1L,4,0.12001200120012
25,6,0,1,1,2,1O:1O:1O:1O:1O:2O,,2O1S,,1L:1L,4,0.12001200120012
26,5,0,2,1,2,1O:1O:1O:1O:2O,,1O1S:2O1S,,1L:1L,4,0.12001200120012
27,5,1,1,1,2,:1O:1O:1O:1O,,1N3O2S,,1L:1L,4,0.12001200120012
28,6,0,1,1,2,:1O:1O:1O:1O:2O,,1O1S,,1L:1L,4,0.12001200120012
29,7,0,1,1,1,::1O:1O:1O:1O:2O,,1O,,1L,4,0.12001200120012
30,4,1,2,1,2,1O:1O:1O:2O,,1O:1O1S,,1L:1L,4,0.12001200120012
31,6,0,1,1,2,:1O:1O:1O:1O:2O,,1N3O2S,,1L:1L,4,0.12001200120012
32,5,1,2,1,2,:1O:1O:1O:2O,,1O:2O1S,,1L:1L,4,0.12001200120012
33,6,1,1,1,2,1O:1O:1O:1O:1O:1O,,1O,,1L:1L,4,0.12001200120012
34,3,1,4,1,2,1O:1O:1O,,:1N1O1S:1O:1O1S,,1L:1L,4,0.12001200120012
35,5,0,2,1,2,1O:1O:1O:1O:1O,,1O:1O1S,,1L:1L,4,0.12001200120012
36,3,1,2,1,2,1O:1O:1O,1O,1N3O2S:1O,,1L:1L,4,0.12001200120012
37,5,0,1,1,2,1O:1O:1O:1O:2O,,2O1S,,1L:1L,4,0.12001200120012
38,4,0,2,1,2,1O:1O:1O:1O,,1O1S:2O1S,,1L:1L,4,0.12001200120012
39,4,0,2,1,2,1O:1O:1O:2O,,1N1O1S:1O,,1L:1L,4,0.12001200120012
40,5,0,2,2,2,:1O:1O:1O:1O,,1O:2O1S,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,4,0.12001200120012
41,6,0,1,1,2,1O:1O:1O:1O:2O:2O,,1O,,1L:1L,4,0.12001200120012
42,6,0,1,1,2,:1O:1O:1O:2O:2O,,1O1S,,1L:1L,4,0.12001200120012
43,6,0,1,1,2,1O:1O:1O:1O:1O:1O,,1N1O1S,,1L:1L,4,0.12001200120012
44,5,0,2,1,2,1O:1O:1O:2O:2O,,:1O,,1L:1L,4,0.12001200120012
45,6,0,1,1,2,:1O:1O:1O:1O:1O,,1O1S,,1L:1L,4,0.12001200120012
46,5,0,2,1,2,:1O:1O:1O:1O,,1N3O2S:1O,,1L:1L,4,0.12001200120012
47,3,1,2,1,2,1O:1O:1O,1O,1O:2O1S,,1L:1L,4,0.12001200120012
48,3,1,2,1,2,1O:1O:1O,1O,1O1S:2O1S,,1L:1L,4,0.12001200120012
49,4,0,2,1,2,:1O:1O:1O,,1O:2O1S,,1L:1L,4,0.12001200120012
50,4,0,2,1,2,:1O:1O:1O,,1O:1O1S,,1L:1L,4,0.12001200120012
51,4,2,0,1,2,1O:1O:1O:1O,:1O,,,1L:1L,3,0.09000900090009
52,7,0,0,1,1,::1O:1O:1O:1O:2O,,,,1L,3,0.09000900090009
53,6,0,1,1,1,:::1O:1O:1O,,,,1L,3,0.09000900090009
54,5,1,2,1,2,:1O:1O:1O:1O,,1O:2O1S,,1L:1L,3,0.09000900090009
55,5,0,2,1,2,:1O:1O:1O:1O,,2O1S:2O1S,,1L:1L,3,0.09000900090009
56,5,1,1,1,2,:1O:1O:1O:2O,,2O1S,,1L:1L,3,0.09000900090009
57,6,0,2,1,2,:1O:1O:1O:1O:1O,,1O:1O1S,,1L:1L,3,0.09000900090009
58,4,2,1,1,2,1O:1O:1O:1O,:,1O1S,,1L:1L,3,0.09000900090009
59,5,1,1,1,2,1O:1O:1O:1O:1O,1O,1O,,1L:1L,3,0.09000900090009
60,4,1,2,1,2,1O:1O:1O:2O,,1O:2O2S,,1L:1L,3,0.09000900090009
61,4,0,3,1,2,1O:1O:1O:2O,,1O:1O1S:2O1S,,1L:1L,3,0.09000900090009
62,3,1,2,1,2,1O:1O:1O,1O,1O:1O1S,,1L:1L,3,0.09000900090009
63,5,1,1,1,2,1O:1O:1O:1O:1O,,1O,,1L:1L,3,0.09000900090009
64,4,0,2,1,2,1O:1O:2O:2O,,1O:1O1S,,1L:1L,3,0.09000900090009
65,4,1,2,1,2,1O:1O:1O:1O,1O,1O:2O1S,,1L:1L,3,0.09000900090009
66,4,2,1,1,2,:1O:1O:1O,:1O,1N3O2S,,1L:1L,3,0.09000900090009
67,3,1,2,1,2,1O:1O:1O,1O,1N1O1S:1O1S,,1L:1L,3,0.09000900090009
68,5,0,2,1,2,:1O:1O:1O:2O,,1O1S:2O1S,,1L:1L,3,0.09000900090009
69,4,1,2,1,2,1O:1O:1O:1O,,2O1S:2O1S,,1L:1L,3,0.09000900090009
70,5,0,2,1,2,:1O:1O:1O:2O,,1O:2O1S,,1L:1L,3,0.09000900090009
71,5,1,1,1,2,1O:1O:1O:1O:2O,,1O1S,,1L:1L,3,0.09000900090009
72,6,0,2,1,2,:1O:1O:1O:2O:2O,,1O1S:2O1S,,1L:1L,3,0.09000900090009
73,6,0,2,1,2,:1O:1O:1O:1O:2O,,:2O1S,,1L:1L,3,0.09000900090009
74,6,1,0,1,2,1O:1O:1O:1O:1O:1O,,,,1L:1L,3,0.09000900090009
75,6,0,2,1,2,:1O:1O:1O:1O:2O,,:1N3O2S,,1L:1L,3,0.09000900090009
76,4,2,1,1,2,1O:1O:1O:1O,:1O,1O1S,,1L:1L,3,0.09000900090009
77,4,0,2,1,2,1O:1O:1O:2O,,:1O1S,,1L:1L,3,0.09000900090009
78,5,0,1,1,2,1O:1O:1O:1O:2O,,1O,,1L:1L,3,0.09000900090009
79,6,0,1,1,2,:1O:1O:1O:1O:1O,,1N1O1S,,1L:1L,3,0.09000900090009
80,4,1,3,1,2,:1O:1O:1O,,1N3O2S:1O:2O1S,,1L:1L,3,0.09000900090009
81,5,0,2,1,2,1O:1O:1O:2O:2O,,:2O1S,,1L:1L,3,0.09000900090009
82,5,0,1,1,2,1O:1O:1O:1O:2O,,2O,,1L:1L,3,0.09000900090009
83,6,0,1,1,2,:1O:1O:1O:1O:2O,,2O2S,,1L:1L,3,0.09000900090009
84,5,0,1,1,2,1O:1O:1O:1O:2O,,1N3O2S,,1L:1L,3,0.09000900090009
85,5,1,1,2,2,:1O:1O:1O:1O,,2O1S,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,3,0.09000900090009
86,5,1,2,1,2,1O:1O:1O:1O:1O,,1O:1O1S,,1L:1L,3,0.09000900090009
87,5,0,1,1,2,1O:1O:1O:1O:1O,,2O1S,,1L:1L,3,0.09000900090009
88,5,0,1,1,2,1O:1O:1O:1O:1O,,1N3O2S,,1L:1L,3,0.09000900090009
89,3,0,4,1,2,1O:1O:1O,,:1N1O1S:1O:1O1S,,1L:1L,3,0.09000900090009
90,6,0,1,1,2,:1O:1O:1O:1O:1O,,1N3O2S,,1L:1L,3,0.09000900090009
91,5,0,2,1,2,1O:1O:1O:1O:1O,,1O1S:2O1S,,1L:1L,3,0.09000900090009
92,5,0,1,2,2,:1O:1O:1O:1O,,1O1S,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,3,0.09000900090009
93,5,0,1,1,2,1O:1O:1O:2O:2O,,1O,,1L:1L,3,0.09000900090009
94,3,1,2,1,2,1O:1O:2O,,1N3O2S:1O,,1L:1L,3,0.09000900090009
95,5,0,2,1,2,1O:1O:1O:1O:2O,,1O:1O,,1L:1L,3,0.09000900090009
96,4,1,1,1,2,1O:1O:1O:2O,1O,1O,,1L:1L,3,0.09000900090009
97,6,0,1,2,2,:1O:1O:1O:1O:2O,,1O,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,3,0.09000900090009
98,4,0,2,1,2,1O:1O:1O:1O,,1N1O1S:1O,,1L:1L,3,0.09000900090009
99,4,0,4,1,2,:1O:1O:1O,,:1O:1O1S:1O1S,,1L:1L,3,0.09000900090009
100,4,1,1,1,2,1O:1O:1O:1O,,1N3O2S,,1L:1L,3,0.09000900090009
101,4,0,3,1,2,:1O:1O:1O,,1O:2O1S:2O1S,,1L:1L,3,0.09000900090009
102,5,0,2,1,2,:1O:1O:1O:2O,,1O:1O1S,,1L:1L,2,0.06000600060006
103,3,1,2,1,2,1O:1O:1O,1O,:2O1S,,1L:1L,2,0.06000600060006
104,3,1,2,1,2,1O:1O:1O,,1O1S:2O1S,,1L:1L,2,0.06000600060006
105,4,1,2,1,2,1O:1O:2O:2O,,1O:1O1S,,1L:1L,2,0.06000600060006
106,4,0,3,1,2,:1O:1O:2O,,1N2O1S:2O1S:2O1S,,1L:1L,2,0.06000600060006
107,5,0,2,1,2,1O:1O:1O:1O:2O,,:1O,,1L:1L,2,0.06000600060006
108,4,1,2,1,2,1O:1O:1O:2O,,:1N3O2S,,1L:1L,2,0.06000600060006
109,6,1,1,1,2,:1O:1O:1O:1O:1O,,3O1S,,1L:1L,2,0.06000600060006
110,6,0,2,2,2,::1O:1O:1O:1O,,1O:2O1S,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,2,0.06000600060006
111,3,0,4,1,2,1O:1O:1O,,:1N2O1S:1O:1O1S,,1L:1L,2,0.06000600060006
112,6,1,1,1,2,:1O:1O:1O:1O:2O,,2O1S,,1L:1L,2,0.06000600060006
113,4,0,3,1,2,:1O:1O:2O,,1N1O1S:1O:1O1S,,1L:1L,2,0.06000600060006
114,3,1,2,1,2,1O:1O:1O,1O,1N2O2S:1O,,1L:1L,2,0.06000600060006
115,3,1,2,1,2,1O:1O:1O,1O,1N2O2S:2O1S,,1L:1L,2,0.06000600060006
116,5,0,2,1,2,1O:1O:1O:2O:2O,,1O:1O1S,,1L:1L,2,0.06000600060006
117,3,0,4,1,2,1O:1O:1O,,:1O:1O1S:1O1S,,1L:1L,2,0.06000600060006
118,6,1,1,1,2,:1O:1O:1O:1O:2O,,1N3O2S,,1L:1L,2,0.06000600060006
119,5,0,2,1,2,1O:1O:1O:2O:2O,,1O:1O,,1L:1L,2,0.06000600060006
120,6,1,1,1,2,:1O:1O:1O:1O:2O,,1O1S,,1L:1L,2,0.06000600060006
121,5,0,3,2,2,:1O:1O:1O:1O,,::2O1S,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,2,0.06000600060006
122,6,0,0,2,2,:1O:1O:1O:1O:1O,,,3S:3S:3S:3S:4S:4S:5S:5S,1L:1L,2,0.06000600060006
123,3,0,5,1,2,1O:1O:1O,,::1O:1O1S:1O1S,,1L:1L,2,0.06000600060006
124,3,0,4,1,2,1O:1O:1O,,:1O:1O1S:2O1S,,1L:1L,2,0.06000600060006
125,6,1,1,1,2,1O:1O:1O:1O:2O:2O,,1O,,1L:1L,2,0.06000600060006
126,4,1,2,1,2,:1O:1O:2O,,1N3O2S:1O1S,,1L:1L,2,0.06000600060006
127,6,1,1,1,1,:1O:1O:1O:1O:2O,,,,1L,2,0.06000600060006
128,5,0,2,1,2,:1O:1O:1O:1O,,1O1S:3O1S,,1L:1L,2,0.06000600060006
129,3,1,1,1,2,1O:1O:1O,1O,2O1S,,1L:1L,2,0.06000600060006
130,5,0,3,1,2,::1O:1O:2O,,1N1O1S:1O:1O,,1L:1L,2,0.06000600060006
131,6,1,0,1,1,:1O:1O:1O:1O:1O,,,,1L,2,0.06000600060006
132,5,0,2,1,2,:1O:1O:1O:1O,,1N2O1S:2O1S,,1L:1L,2,0.06000600060006
133,4,1,2,1,2,:1O:1O:2O,1O,1O:2O1S,,1L:1L,2,0.06000600060006
134,4,1,2,1,2,:1O:1O:1O,1O,1O:2O,,1L:1L,2,0.06000600060006
135,5,0,2,1,2,:1O:1O:1O:1O,,2O1S:3O1S,,1L:1L,2,0.06000600060006
136,5,0,3,1,2,::1O:1O:1O,,1O:2O1S:2O1S,,1L:1L,2,0.06000600060006
137,6,1,1,1,1,:::1O:1O:1O,,,,1L,2,0.06000600060006
138,4,1,2,1,2,:1O:1O:1O,1O,1N2O2S:2O1S,,1L:1L,2,0.06000600060006
139,6,0,3,1,2,:1O:1O:1O:1O:1O,,1O:1O:1O1S,,1L:1L,2,0.06000600060006
140,5,0,2,1,2,:1O:1O:1O:2O,,1N1O1S:1O1S,,1L:1L,2,0.06000600060006
141,4,0,1,2,3,:1O:1O:1O,,1N3O2S,2S:2S:2S:3S:4S:4S:4S:4S,1L:1L:1L,2,0.06000600060006
142,5,0,2,1,2,:1O:1O:1O:2O,,1N3O2S:2O1S,,1L:1L,2,0.06000600060006
143,5,0,2,1,2,:1O:1O:1O:1O,,1N1O1S:2O,,1L:1L,2,0.06000600060006
144,4,1,2,1,2,:1O:1O:1O,,1N3O2S:1O,,1L:1L,2,0.06000600060006
145,5,0,2,1,2,:1O:1O:1O:2O,,1N4O2S:1O1S,,1L:1L,2,0.06000600060006
146,3,1,2,1,2,1O:1O:1O,,1N1O1S:1N3O2S,,1L:1L,2,0.06000600060006
147,5,0,2,1,2,:1O:1O:1O:2O,,1O1S:1O1S,,1L:1L,2,0.06000600060006
148,6,1,1,1,2,1O:1O:1O:1O:1O:2O,,1N1O1S,,1L:1L,2,0.06000600060006
149,5,0,2,1,2,:1O:1O:1O:1O,,1O1S:2O1S,,1L:1L,2,0.06000600060006
150,5,0,2,1,2,:1O:1O:1O:2O,,1O1S:3O1S,,1L:1L,2,0.06000600060006
151,5,0,2,1,2,:1O:1O:1O:1O,,1N3O2S:2O1S,,1L:1L,2,0.06000600060006
152,6,0,2,1,2,:1O:1O:1O:2O:2O,,1O:1O,,1L:1L,2,0.06000600060006
153,4,0,1,2,2,::1O:1O,,1N3O2S,3S:3S:3S:4S:4S:4S:5S:5S,1L:1L,2,0.06000600060006
154,3,3,0,1,2,1O:1O:2O,::1O,,,1L:1L,2,0.06000600060006
155,5,0,3,1,1,:1O:1O:1O:1O,,::1O,,1L,2,0.06000600060006
156,6,0,1,1,2,:1O:1O:1O:1O:2O,,2O,,1L:1L,2,0.06000600060006
157,4,0,4,1,2,:1O:1O:1O,,:1O:1O:1O1S,,1L:1L,2,0.06000600060006
158,6,0,1,1,2,:1O:1O:1O:1O:2O,,1N2O1S,,1L:1L,2,0.06000600060006
159,4,1,1,2,2,1O:1O:1O:2O,,1O1S,1S:1S:2S:2S:3S:3S:3S:3S,1L:1L,2,0.06000600060006
160,4,0,4,1,2,:1O:1O:1O,,:1O:1O1S:2O1S,,1L:1L,2,0.06000600060006
161,6,0,1,1,2,:1O:1O:1O:1O:1O,,1N4O2S,,1L:1L,2,0.06000600060006
162,6,0,1,1,2,:1O:1O:1O:1O:1O,,1N2O2S,,1L:1L,2,0.06000600060006
163,5,0,2,2,2,:1O:1O:1O:1O,,:1O1S,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,2,0.06000600060006
164,5,0,3,1,2,1O:1O:1O:1O:1O,,:1O:2O1S,,1L:1L,2,0.06000600060006
165,6,0,1,1,2,1O:1O:1O:1O:2O:2O,,1O1S,,1L:1L,2,0.06000600060006
166,5,0,3,1,2,1O:1O:1O:1O:2O,,:1O:1O1S,,1L:1L,2,0.06000600060006
167,6,0,1,1,2,1O:1O:1O:1O:1O:2O,,1N1O1S,,1L:1L,2,0.06000600060006
168,6,0,1,1,2,1O:1O:1O:1O:1O:2O,,,,1L:1L,2,0.06000600060006
169,6,0,2,1,1,::1O:1O:1O:1O,,:1O,,1L,2,0.06000600060006
170,6,0,1,1,2,1O:1O:1O:1O:1O:1O,,3O2S,,1L:1L,2,0.06000600060006
171,6,0,2,1,1,::1O:1O:1O:2O,,:1O1S,,1L,2,0.06000600060006
172,6,0,1,1,2,1O:1O:1O:1O:1O:1O,,2O2S,,1L:1L,2,0.06000600060006
173,6,0,1,1,2,1O:1O:1O:1O:1O:1O,,2O1S,,1L:1L,2,0.06000600060006
174,3,3,1,1,2,1O:1O:1O,:1O:1O,1O,,1L:1L,2,0.06000600060006
175,3,3,0,1,2,1O:1O:2O,:1O:1O,,,1L:1L,2,0.06000600060006
176,3,1,3,1,2,1O:1O:1O,1O,::1O,,1L:1L,2,0.06000600060006
177,6,0,1,1,2,:1O:1O:1O:2O:2O,,1N4O2S,,1L:1L,2,0.06000600060006
178,4,1,1,1,2,1O:1O:1O:1O,,1N4O2S,,1L:1L,2,0.06000600060006
179,4,1,1,1,2,1O:1O:1O:1O,,2O1S,,1L:1L,2,0.06000600060006
180,4,1,1,1,2,1O:1O:1O:1O,1O,1N3O2S,,1L:1L,2,0.06000600060006
181,3,2,2,1,2,1O:1O:2O,:,1N3O2S:1O,,1L:1L,2,0.06000600060006
182,4,1,1,1,2,1O:1O:1O:1O,1O,2O1S,,1L:1L,2,0.06000600060006
183,3,2,2,1,2,1O:1O:1O,:1O,1O:2O1S,,1L:1L,2,0.06000600060006
184,4,1,1,1,2,1O:1O:1O:2O,1O,1O1S,,1L:1L,2,0.06000600060006
185,4,1,1,1,2,1O:1O:1O:2O,1O,3O2S,,1L:1L,2,0.06000600060006
186,6,0,1,2,2,:1O:1O:1O:1O:2O,,1O1S,1S:1S:1S:1S:2S:3S:3S:3S,1L:1L,2,0.06000600060006
187,6,0,1,1,2,::1O:1O:2O:2O,,1O,,1L:1L,2,0.06000600060006
188,4,1,1,1,2,1O:1O:2O:2O,,1N3O2S,,1L:1L,2,0.06000600060006
189,3,2,1,1,2,:1O:1O,1O:1O,1O1S,,1L:1L,2,0.06000600060006
190,3,2,1,1,2,1O:1O:2O,:1O,2O1S,,1L:1L,2,0.06000600060006
191,4,1,1,1,2,:1O:1O:1O,1O,2O1S,,1L:1L,2,0.06000600060006
192,3,2,1,1,2,1O:1O:2O,:1O,1N3O2S,,1L:1L,2,0.06000600060006
193,4,1,1,1,2,:1O:1O:1O,1O,2O2S,,1L:1L,2,0.06000600060006
194,3,2,1,1,2,1O:1O:1O,:1O,2O1S,,1L:1L,2,0.06000600060006
195,4,1,1,1,2,:1O:1O:2O,1O,1N3O2S,,1L:1L,2,0.06000600060006
196,6,0,1,1,2,:1O:1O:1O:2O:2O,,1O,,1L:1L,2,0.06000600060006
197,6,0,2,1,2,1O:1O:1O:1O:1O:1O,,1O:1O1S,,1L:1L,2,0.06000600060006
198,5,0,2,2,2,1O:1O:1O:1O:1O,,:1O,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,2,0.06000600060006
199,6,0,2,1,2,:::1O:1O:1O,,1N3O2S:1O1S,,1L:1L,2,0.06000600060006
200,4,1,2,1,2,1O:1O:1O:1O,,1O:2O,,1L:1L,2,0.06000600060006
201,4,1,2,1,2,1O:1O:1O:1O,,1O:2O1S,,1L:1L,2,0.06000600060006
202,4,0,1,2,2,:1O:1O:1O,,1O,2S:2S:2S:3S:4S:4S:5S:5S,1L:1L,2,0.06000600060006
203,6,0,2,1,2,:1O:1O:1O:2O:2O,,:1O,,1L:1L,2,0.06000600060006
204,6,0,2,1,2,:1O:1O:1O:2O:2O,,:1O1S,,1L:1L,2,0.06000600060006
205,6,0,2,1,2,:1O:1O:2O:2O:2O,,:1O1S,,1L:1L,2,0.06000600060006
206,3,1,2,1,2,:1O:1O,1O,1N4O2S:1O1S,,1L:1L,2,0.06000600060006
207,4,1,2,1,2,1O:1O:1O:1O,,2O1S:2O2S,,1L:1L,2,0.06000600060006
208,4,1,2,1,2,1O:1O:1O:1O,,:1O,,1L:1L,2,0.06000600060006
209,4,0,1,2,2,:1O:1O:1O,,2O1S,1S:2S:2S:3S:3S:3S:3S:4S,1L:1L,2,0.06000600060006
210,4,1,2,1,2,1O:1O:1O:1O,1O,1N3O2S:1O1S,,1L:1L,2,0.06000600060006
211,5,0,2,1,2,:1O:2O:2O:2O,,1O:1O1S,,1L:1L,2,0.06000600060006
212,3,1,2,1,2,1O:1O:2O,1O,1O:2O1S,,1L:1L,2,0.06000600060006
213,5,0,2,1,2,:1O:1O:2O:2O,,1O:2O1S,,1L:1L,2,0.06000600060006
214,3,1,2,1,2,1O:1O:2O,1O,1O1S:2O1S,,1L:1L,2,0.06000600060006
215,4,1,2,1,2,1O:1O:1O:2O,,1O1S:2O1S,,1L:1L,2,0.06000600060006
216,5,0,2,1,2,:1O:1O:2O:2O,,1O1S:2O1S,,1L:1L,2,0.06000600060006
217,5,0,2,1,2,:1O:1O:2O:2O,,1N1O1S:1O,,1L:1L,2,0.06000600060006
218,3,1,2,1,2,1O:1O:2O,1O,1N1O1S:2O,,1L:1L,2,0.06000600060006
219,6,0,2,1,2,::1O:1O:2O:2O,,1O:2O1S,,1L:1L,2,0.06000600060006
220,6,0,2,1,2,:1O:1O:1O:2O:2O,,1O:1O1S,,1L:1L,2,0.06000600060006
221,6,0,2,1,2,:1O:1O:1O:1O:2O,,:1O1S,,1L:1L,2,0.06000600060006
222,6,0,1,1,2,1O:1O:1O:1O:1O:1O,,1O,,1L:1L,2,0.06000600060006
223,3,1,2,2,2,1O:1O:1O,,1O:1O1S,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,2,0.06000600060006
224,6,0,2,1,2,1O:1O:1O:1O:1O:1O,,:1O1S,,1L:1L,2,0.06000600060006
225,6,0,2,1,2,1O:1O:1O:1O:1O:1O,,:2O1S,,1L:1L,2,0.06000600060006
226,6,0,2,1,2,1O:1O:1O:1O:1O:2O,,:,,1L:1L,2,0.06000600060006
227,6,0,2,1,2,1O:1O:1O:1O:1O:2O,,:1O1S,,1L:1L,2,0.06000600060006
228,6,0,2,1,2,1O:1O:1O:1O:1O:2O,,:2O1S,,1L:1L,2,0.06000600060006
229,6,0,2,1,2,1O:1O:1O:1O:2O:2O,,:1O,,1L:1L,2,0.06000600060006
230,5,0,3,1,2,:1O:1O:1O:1O,,1O:1O:1O1S,,1L:1L,2,0.06000600060006
231,6,0,2,1,2,:1O:1O:1O:1O:1O,,1O:2O1S,,1L:1L,2,0.06000600060006
232,6,0,1,1,1,:::1O:1O:1O,,1O1S,,1L,2,0.06000600060006
233,5,0,3,1,2,:1O:1O:1O:1O,,1O:1O:2O2S,,1L:1L,2,0.06000600060006
234,6,0,2,1,2,:1O:1O:1O:1O:1O,,:1O1S,,1L:1L,2,0.06000600060006
235,6,0,1,1,1,::1O:1O:1O:2O,,2O1S,,1L,2,0.06000600060006
236,5,0,2,1,2,::1O:1O:2O,,1N1O1S:1O,,1L:1L,2,0.06000600060006
237,4,1,2,1,2,1O:1O:1O:1O,,1N3O2S:1O,,1L:1L,2,0.06000600060006
238,4,1,2,1,2,1O:1O:1O:1O,,1N3O2S:1O1S,,1L:1L,2,0.06000600060006
239,6,0,2,1,2,:1O:1O:1O:1O:2O,,1O:2O1S,,1L:1L,2,0.06000600060006
240,6,0,2,1,2,:1O:1O:1O:1O:2O,,1O:3O2S,,1L:1L,2,0.06000600060006
241,5,0,2,1,2,::1O:1O:1O,,1O:2O1S,,1L:1L,2,0.06000600060006
242,4,1,2,1,2,1O:1O:1O:1O,,1O:1O,,1L:1L,2,0.06000600060006
243,5,0,2,1,2,1O:1O:1O:1O:2O,,2O1S:2O1S,,1L:1L,2,0.06000600060006
244,6,1,1,1,2,:1O:1O:1O:1O:1O,,2O1S,,1L:1L,2,0.06000600060006
245,5,0,2,1,2,1O:1O:1O:1O:2O,,1O:1O1S,,1L:1L,2,0.06000600060006
246,4,0,2,1,2,1O:1O:2O:2O,,1O1S:2O1S,,1L:1L,2,0.06000600060006
247,7,0,1,1,2,::1O:1O:1O:1O:1O,,1N3O2S,,1L:1L,2,0.06000600060006
248,5,1,1,1,2,1O:1O:1O:1O:1O,,3O2S,,1L:1L,2,0.06000600060006
249,4,0,2,1,2,:1O:1O:1O,,1N1O1S:1O,,1L:1L,2,0.06000600060006
250,4,0,2,1,2,:1O:1O:1O,,1N2O2S:1O,,1L:1L,2,0.06000600060006
251,4,0,3,1,2,1O:1O:1O:1O,,1O:1O:2O1S,,1L:1L,2,0.06000600060006
252,4,2,2,1,2,1O:1O:1O:2O,:,1O:2O1S,,1L:1L,2,0.06000600060006
253,4,0,3,1,2,1O:1O:1O:1O,,1O:1O:1O1S,,1L:1L,2,0.06000600060006
254,5,1,1,1,2,1O:1O:1O:1O:2O,,1N3O2S,,1L:1L,2,0.06000600060006
255,5,1,1,1,2,1O:1O:1O:1O:2O,,1O,,1L:1L,2,0.06000600060006
256,5,1,1,1,2,1O:1O:1O:1O:2O,,2O,,1L:1L,2,0.06000600060006
257,4,0,2,1,2,:1O:1O:1O,,1O1S:2O,,1L:1L,2,0.06000600060006
258,5,1,1,1,2,1O:1O:1O:1O:2O,,3O1S,,1L:1L,2,0.06000600060006
259,4,2,2,1,2,:1O:1O:1O,:1O,1O:2O1S,,1L:1L,2,0.06000600060006
260,4,0,2,1,2,:1O:1O:1O,,2O1S:2O1S,,1L:1L,2,0.06000600060006
261,5,1,1,1,2,1O:1O:1O:1O:2O,1O,1O1S,,1L:1L,2,0.06000600060006
262,5,1,2,1,2,::1O:1O:1O,,1N3O2S:1O1S,,1L:1L,2,0.06000600060006
263,5,1,2,1,2,:1O:1O:2O:2O,,1O:1O,,1L:1L,2,0.06000600060006
264,4,0,3,1,2,1O:1O:1O:1O,,:1O1S:2O1S,,1L:1L,2,0.06000600060006
265,7,0,1,1,2,:1O:1O:1O:1O:1O:2O,,2O1S,,1L:1L,2,0.06000600060006
266,4,0,2,1,2,1O:1O:1O:2O,,1N3O1S:1O,,1L:1L,2,0.06000600060006
