,num_dol,num_dipe,num_tfsi,num_ps,num_li,atoms_dol,atoms_dipe,atoms_tfsi,atoms_ps,atoms_li,count,%
1826,4,0,3,1,2,1O:1O:1O:2O,,1N2O2S:1O:1O,,1L:1L,1,0.03000300030003
1827,4,0,3,1,2,1O:1O:1O:1O,,:1O:3O2S,,1L:1L,1,0.03000300030003
1828,4,0,3,1,2,1O:1O:1O:1O,,:1O1S:2O1S,,1L:1L,1,0.03000300030003
1829,4,0,3,1,2,1O:1O:1O:1O,,:1N4O2S:1O,,1L:1L,1,0.03000300030003
1830,4,0,3,1,2,1O:1O:1O:1O,,:1N3O2S:2O,,1L:1L,1,0.03000300030003
1831,4,0,3,1,2,1O:1O:1O:1O,,1O:2O:3O1S,,1L:1L,1,0.03000300030003
1832,4,0,3,1,2,1O:1O:1O:1O,,1O:2O:2O,,1L:1L,1,0.03000300030003
1833,4,0,3,1,2,1O:1O:1O:1O,,1O:2O1S:3O1S,,1L:1L,1,0.03000300030003
1834,4,0,3,1,2,1O:1O:1O:1O,,1O:2O1S:2O2S,,1L:1L,1,0.03000300030003
1835,4,0,3,2,3,:1O:1O:2O,,1N1O1S:1O:2O,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L:1L,1,0.03000300030003
1836,4,0,3,2,3,:1O:1O:2O,,1O:1O:2O,1S:1S:1S:2S:2S:2S:2S:2S,1L:1L:1L,1,0.03000300030003
1837,4,0,3,2,3,::1O:2O,,1N3O2S:1O:2O,:::1S:1S:2S:2S:2S,1L:1L:1L,1,0.03000300030003
1838,4,1,1,2,2,:1O:1O:2O,,1O,2S:2S:3S:3S:3S:4S:4S:4S,1L:1L,1,0.03000300030003
1839,4,1,1,2,2,:1O:1O:1O,1O,2O1S,1S:2S:2S:2S:2S:3S:3S:3S,1L:1L,1,0.03000300030003
1840,4,1,1,2,2,:1O:1O:1O,1O,2O,2S:2S:2S:2S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1841,4,1,1,2,2,:1O:1O:1O,1O,1O1S,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
1842,4,1,1,2,2,:1O:1O:1O,1O,1O,:1S:1S:1S:1S:2S:2S:2S,1L:1L,1,0.03000300030003
1843,4,1,1,2,2,:1O:1O:1O,1O,1O,2S:2S:2S:2S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
1844,4,1,1,2,2,:1O:1O:1O,,2O,3S:3S:3S:3S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
1845,4,1,1,2,2,:1O:1O:1O,,2O,2S:2S:2S:2S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
1846,4,1,1,2,2,:1O:1O:1O,,1O1S,1S:1S:2S:2S:3S:4S:4S:4S,1L:1L,1,0.03000300030003
1847,4,1,1,2,2,:1O:1O:1O,,1O,2S:2S:2S:3S:3S:3S:4S:4S,1L:1L,1,0.03000300030003
1848,4,1,1,2,2,:1O:1O:1O,,1O,2S:2S:2S:2S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1849,4,1,1,2,2,1O:1O:2O:2O,,2O,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
1850,4,1,1,2,2,1O:1O:1O:2O,,1O1S,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
1851,4,1,1,2,2,1O:1O:1O:2O,,1O,:::1S:1S:2S:2S:2S,1L:1L,1,0.03000300030003
1852,4,1,1,2,2,1O:1O:1O:2O,,1O,::1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1853,4,1,1,2,2,1O:1O:1O:2O,,1O,:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1854,4,1,1,2,2,1O:1O:1O:2O,,1O,3S:3S:3S:4S:4S:4S:5S:5S,1L:1L,1,0.03000300030003
1855,4,1,1,2,2,1O:1O:1O:2O,,1O,2S:2S:2S:2S:2S:3S:3S:3S,1L:1L,1,0.03000300030003
1856,4,1,1,2,2,1O:1O:1O:1O,,3O1S,:1S:1S:2S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
1857,4,1,1,2,2,1O:1O:1O:1O,,2O1S,:::1S:1S:2S:2S:2S,1L:1L,1,0.03000300030003
1858,4,1,1,2,2,1O:1O:1O:1O,,1O1S,2S:2S:3S:3S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
